NAMESPACE         NAME                                                        READY   STATUS      RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
metallb-system    metallb-frr-k8s-qfhds                                       5/5     Running     0               11d     192.168.2.51   arm64-01   <none>           <none>
metallb-system    metallb-frr-k8s-ssvg9                                       5/5     Running     0               11d     192.168.2.55   arm64-05   <none>           <none>
metallb-system    metallb-frr-k8s-statuscleaner-75b695f48d-xkrmt              1/1     Running     0               11d     192.168.2.54   arm64-04   <none>           <none>
metallb-system    metallb-speaker-28brk                                       1/1     Running     0               11d     192.168.2.54   arm64-04   <none>           <none>
metallb-system    metallb-speaker-42cwv                                       1/1     Running     0               11d     192.168.2.51   arm64-01   <none>           <none>
metallb-system    metallb-speaker-cwnvf                                       1/1     Running     0               11d     192.168.2.52   arm64-02   <none>           <none>
metallb-system    metallb-speaker-lfqsk                                       1/1     Running     0               4d4h    192.168.2.62   amd64-02   <none>           <none>
metallb-system    metallb-speaker-vmlhf                                       1/1     Running     0               11d     192.168.2.55   arm64-05   <none>           <none>
metallb-system    metallb-speaker-zkkb7                                       1/1     Running     0               5d23h   192.168.2.61   amd64-01   <none>           <none>
metallb-system    metallb-speaker-zthcp                                       1/1     Running     0               11d     192.168.2.53   arm64-03   <none>           <none>
minio             minio-0                                                     1/1     Running     0               7d22h   10.42.2.20     arm64-03   <none>           <none>
minio             minio-1                                                     1/1     Running     0               7d22h   10.42.5.8      arm64-05   <none>           <none>
minio             minio-2                                                     1/1     Running     0               7d22h   10.42.3.8      arm64-04   <none>           <none>
minio             minio-3                                                     1/1     Running     0               7d22h   10.42.1.9      arm64-02   <none>           <none>
minio             minio-4                                                     1/1     Running     0               7d22h   10.42.0.10     arm64-01   <none>           <none>
minio             minio-metrics-test                                          0/1     Completed   0               7d22h   10.42.2.21     arm64-03   <none>           <none>
observability     alertmanager-kube-prometheus-stack-alertmanager-0           2/2     Running     0               9d      10.42.3.4      arm64-04   <none>           <none>
observability     kube-prometheus-stack-grafana-784b55fb5-f4xg5               3/3     Running     0               4d2h    10.42.6.10     amd64-02   <none>           <none>
observability     kube-prometheus-stack-kube-state-metrics-6f664bc8c4-mwgz6   1/1     Running     0               4d2h    10.42.6.9      amd64-02   <none>           <none>
observability     kube-prometheus-stack-operator-7d8df54f74-67hv4             1/1     Running     0               4d2h    10.42.6.11     amd64-02   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-c7qs4        1/1     Running     0               4d4h    192.168.2.62   amd64-02   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-hsxpx        1/1     Running     0               5d23h   192.168.2.61   amd64-01   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-pln7m        1/1     Running     0               9d      192.168.2.51   arm64-01   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-t78zj        1/1     Running     0               9d      192.168.2.55   arm64-05   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-tqcjk        1/1     Running     0               9d      192.168.2.53   arm64-03   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-vgmjn        1/1     Running     0               9d      192.168.2.52   arm64-02   <none>           <none>
observability     kube-prometheus-stack-prometheus-node-exporter-xhzjs        1/1     Running     0               9d      192.168.2.54   arm64-04   <none>           <none>
observability     prometheus-kube-prometheus-stack-prometheus-0               2/2     Running     0               9d      10.42.5.4      arm64-05   <none>           <none>
storage           nfs-hdd-nfs-subdir-external-provisioner-9867bfc66-ttz9t     1/1     Running     0               11d     10.42.5.2      arm64-05   <none>           <none>
storage           nfs-ssd-nfs-subdir-external-provisioner-57468b97c8-b79d5    1/1     Running     0               11d     10.42.1.3      arm64-02   <none>           <none>
